id,first_name,last_name,is_empty
103,Steven,Weaver,false
104,Henry,Diaz,false
105,Jason,Chapman,false
106,Elizabeth,Hunt,true
107,Elizabeth,Torres,true
108,Frances,Grant,false
109,Judy,Stanley,true
110,Phyllis,Lawson,false
111,Sandra,Hill,false
112,Heather,Gonzales,false
113,Judy,Burke,true
114,Martha,Rivera,false
115,Carolyn,Gray,false
116,Barbara,Fowler,true
117,Shawn,Kelly,false
118,Kevin,Jordan,true
119,Anthony,Schmidt,false
120,Jeffrey,Richards,false
121,Roy,Lane,true
122,Stephanie,Hayes,false
123,Melissa,Hansen,false
124,Rachel,Hanson,true
125,Jeremy,Spencer,true
126,Christina,Fuller,true
127,Stephen,Mcdonald,true
128,Paul,Richards,false
129,Tammy,Lynch,true
130,Gary,Harrison,false
131,Louis,Edwards,true
132,Antonio,Harrison,true
133,Martha,Hamilton,false
134,Edward,Porter,true
135,Julie,Bailey,false
136,Katherine,King,false
137,Earl,Hansen,true
138,Kimberly,Ferguson,false
139,Andrew,Payne,false
140,Helen,Moore,true
141,Jesse,Ferguson,true
142,Stephanie,Fowler,false
143,James,Taylor,false
144,Roy,Lynch,true
145,Janet,Walker,true
146,Brenda,West,true
147,Nicole,Allen,true
148,Mildred,Mason,false
149,Mark,Lewis,false
150,Irene,Duncan,false
151,Christina,Martinez,true
152,Tammy,Evans,false
153,Joe,Washington,true
154,Lois,Knight,false
155,Edward,Williamson,false
156,Kimberly,Lawrence,false
157,Patrick,Young,true
158,Jean,Vasquez,false
159,Alice,Sanders,true
160,Kathleen,Morales,false
161,Joyce,Mccoy,false
162,Shawn,Chavez,false
163,Joseph,Schmidt,true
164,Robin,Rogers,true
165,Lois,Austin,false
166,Wanda,Gutierrez,true
167,Chris,Collins,true
168,Mary,Hicks,true
169,Timothy,Moore,false
170,Jonathan,Nichols,true
171,Albert,Nelson,false
172,Jane,Hanson,false
173,Tina,Reed,false
174,Elizabeth,Miller,false
175,Patricia,Hamilton,true
176,Peter,Berry,true
177,Stephen,Howard,false
178,Bruce,Burns,false
179,Jose,Murray,false
180,Jimmy,Lynch,false
181,David,Burke,true
182,Stephanie,Gray,false
183,Lois,Rivera,false
184,Christine,Palmer,true
185,Roy,Holmes,false
186,Ronald,Scott,false
187,Andrea,Hunter,false
188,Janice,Dixon,true
189,Beverly,Watkins,false
190,Diane,Knight,true
191,Heather,Cox,true
192,Steve,Ryan,false
193,Lillian,Boyd,false
194,Roy,Myers,true
195,Brandon,Moreno,true
196,Roger,Arnold,false
197,Harry,Allen,true
198,Janet,Pierce,false
199,Douglas,Lee,true
200,Michelle,James,true
201,Patricia,Hanson,true
202,Mildred,Henderson,false
203,Jacqueline,Chavez,true
204,Patrick,Jones,true
205,Angela,Rose,false
206,Marilyn,Meyer,false
207,Michelle,Dunn,true
208,Charles,Mills,false
209,Benjamin,Howard,false
210,Heather,Campbell,false
211,Evelyn,Vasquez,false
212,Nicole,Perkins,false
213,William,Tucker,true
214,Todd,Kennedy,true
215,Deborah,Smith,false
216,Justin,Simpson,false
217,Sara,Lawrence,false
218,Cheryl,Jacobs,true
219,Gloria,Richards,true
220,Emily,Edwards,false
221,Brandon,Howard,true
222,Shirley,Freeman,false
223,Adam,Nichols,false
224,Kathy,Butler,true
225,Lisa,Andrews,false
226,Arthur,Hunter,false
227,Nicholas,Price,true
228,Elizabeth,Wagner,true
229,George,Barnes,true
230,Barbara,Welch,false
231,Walter,Rodriguez,true
232,George,Harper,false
233,Jacqueline,Jacobs,false
234,James,Cruz,true
235,Douglas,Stephens,true
236,Evelyn,Bradley,false
237,Walter,Anderson,true
238,Shirley,Perkins,false
239,Carlos,Patterson,true
240,Bruce,Clark,true
241,Diane,Stewart,true
242,Willie,Patterson,false
243,Phyllis,Hudson,true
244,Eugene,Gibson,true
245,Carolyn,Powell,true
246,Jack,Fox,true
247,Shirley,Cruz,true
248,Phyllis,Fowler,true
249,Marilyn,Burton,false
250,Dorothy,Garrett,true
251,Donna,Armstrong,false
252,Aaron,Smith,false
253,Kevin,Snyder,false
254,Teresa,Reyes,false
255,Cheryl,Sullivan,true
256,Dorothy,Ford,false
257,Raymond,Boyd,true
258,Helen,Mendoza,false
259,Virginia,Oliver,true
260,Andrew,Wells,true
261,Wayne,Bailey,false
262,Jerry,Wheeler,true
263,Carl,Cook,true
264,Maria,Dixon,false
265,Brian,Andrews,true
266,Roy,Diaz,true
267,Larry,Alexander,true
268,Douglas,Armstrong,true
269,Michael,Graham,false
270,Randy,George,true
271,Donald,Bryant,false
272,Kelly,Jenkins,true
273,Judith,Jordan,false
274,Julie,Lopez,false
275,Martha,Dean,true
276,David,Kelley,false
277,Nicholas,Clark,false
278,Jimmy,Matthews,true
279,Kathleen,Hall,false
280,Linda,Arnold,false
281,Nicole,Austin,false
282,Ryan,Hudson,true
283,Judy,Williamson,true
284,Carol,Fox,true
285,Emily,Young,false
286,Beverly,Hughes,true
287,Joyce,Grant,true
288,Jean,Richardson,true
289,Juan,Harper,true
290,Sara,Williams,false
291,Anna,Grant,false
292,Doris,Carr,false
293,Albert,Frazier,false
294,Joan,Morgan,false
295,Carl,Snyder,true
296,Susan,George,false
297,Rebecca,Woods,false
298,Frank,Castillo,true
299,Billy,Gonzalez,true
300,Kenneth,Brooks,true
